file_name,descriptors
easy_100_1111.jpg,"[[  0 218  62 ...  80  45 143]
 [ 83 223  15 ... 178 161 121]
 [ 59  79 228 ... 190  84 237]
 ...
 [181  85  15 ... 251  48  48]
 [182  73 238 ... 251 116  98]
 [179 201  66 ... 159 120 156]]"
easy_101_0010.jpg,"[[126 237 242 ... 255 244 230]
 [146 134  14 ...  68 173 223]
 [123  67 235 ... 170 114 241]
 ...
 [  3 191  98 ... 140  45 221]
 [ 47 187  83 ... 142  98 181]
 [ 11 151 101 ...  12 177 221]]"
easy_102_0101.jpg,"[[138 141  36 ...  12 221 238]
 [ 16 223  91 ... 154 165 185]
 [ 88 249  58 ...  55  47  91]
 ...
 [ 71  16 167 ... 237 121  85]
 [191 255 113 ... 254 123 253]
 [213 102 199 ... 243 161  33]]"
easy_103_1111.jpg,"[[240 104 180 ...  35  70   6]
 [233 181  61 ... 210 194 110]
 [ 45 121  17 ... 178  66 184]
 ...
 [191  22  99 ... 236  81 241]
 [187  14 106 ... 204 248 205]
 [175  95 106 ... 213 253 215]]"
easy_104_1000.jpg,"[[ 77  93 211 ... 243  67  41]
 [182 236 150 ... 125 235 142]
 [  2  94 230 ... 117 173 223]
 ...
 [162 164 244 ...  76 215 207]
 [179 255 107 ... 154 114 216]
 [ 59 219 106 ... 142 120 221]]"
easy_105_1100.jpg,"[[ 91 245 126 ... 190 231 247]
 [134 189 246 ... 108 245 183]
 [ 48  17 123 ... 130  38 243]
 ...
 [ 35 155 107 ... 142 249 245]
 [  6 242 128 ...  29 189 215]
 [ 43 155 106 ... 140 253 223]]"
easy_106_0011.jpg,"[[ 37  40 191 ... 107 121 198]
 [  1 248  22 ...   8  33 171]
 [ 35   2   8 ... 140  88 205]
 ...
 [  0  75 255 ... 176 245  41]
 [ 79 217 123 ... 182  43 119]
 [ 74 131 132 ...  78 141  74]]"
easy_107_1011.jpg,"[[ 10 204  34 ...  28  61 206]
 [182  96  83 ...  43 102   6]
 [ 91  25 173 ...  94 185  94]
 ...
 [222 252 190 ...  69 191 127]
 [158 223  98 ...  87 189 215]
 [ 38 122 106 ...  31 119 214]]"
easy_108_1111.jpg,"[[124 174 140 ... 124  78 240]
 [ 71 190 123 ... 130  39 253]
 [ 41 221 123 ... 212 175 253]
 ...
 [ 59  19  98 ... 142 124 223]
 [191  83 107 ... 191 244 241]
 [  3 159 226 ...  12 169 221]]"
easy_109_1111.jpg,"[[ 72 175 218 ... 247 239  13]
 [ 11 157 191 ... 224 161 249]
 [ 52 109  91 ... 179  98 161]
 ...
 [ 92  49 186 ... 131 135 115]
 [  7 233   5 ...  31 177 164]
 [207 172 188 ... 213 141 107]]"
easy_10_0001.jpg,"[[206  31 182 ... 111  45  87]
 [244 180  61 ...   1 135  51]
 [221 213  28 ... 247 170 113]
 ...
 [ 59  74  98 ... 191 124 204]
 [ 58 200  98 ...  62 125 222]
 [ 49  12 107 ... 169 116 250]]"
easy_110_0001.jpg,"[[ 67 147  65 ... 135 139 213]
 [ 11 180 241 ...  76 223 255]
 [ 43 151  99 ... 204 249 245]
 ...
 [138 248 191 ...   4 165 251]
 [104 233 169 ...  26 246 106]
 [  2 188 178 ...  76 165 223]]"
